Страна/день,,26-05,27-05,28-05,29-05,30-05,Среднее,Рейтинг
Москва,"Температура, среднее",19.5,14.4,13.4,1.2,0.0,9.7,12
,"Без осадков, часов",7,0,0,1,0,1.6,
Париж,"Температура, среднее",19.4,19.1,18.7,0.0,0.0,11.4,8
,"Без осадков, часов",9,11,11,0,0,6.2,
Лондон,"Температура, среднее",19.1,17.9,16.1,0.0,0.0,10.6,10
,"Без осадков, часов",11,11,11,0,0,6.6,
Берлин,"Температура, среднее",21.2,17.6,15.0,0.0,0.0,10.8,9
,"Без осадков, часов",9,6,0,0,0,3.0,
Пекин,"Температура, среднее",35.0,36.0,37.2,16.9,0.0,25.0,1
,"Без осадков, часов",11,11,11,6,0,7.8,
Казань,"Температура, среднее",13.8,15.1,16.2,1.4,0.0,9.3,13
,"Без осадков, часов",6,0,3,1,0,2.0,
Санкт-Петербург,"Температура, среднее",13.4,13.0,12.8,1.2,0.0,8.1,15
,"Без осадков, часов",3,0,0,1,0,0.8,
Волгоград,"Температура, среднее",24.3,24.1,28.2,2.5,0.0,15.8,7
,"Без осадков, часов",11,11,11,1,0,6.8,
Новосибирск,"Температура, среднее",27.4,24.7,25.6,11.1,0.0,17.8,6
,"Без осадков, часов",11,11,11,5,0,7.6,
Калининград,"Температура, среднее",16.9,14.1,12.8,0.0,0.0,8.8,14
,"Без осадков, часов",9,2,1,0,0,2.4,
Абу-Даби,"Температура, среднее",38.3,37.9,37.2,6.8,0.0,24.0,2
,"Без осадков, часов",11,11,11,2,0,7.0,
Варшава,"Температура, среднее",21.6,15.4,14.1,0.0,0.0,10.2,11
,"Без осадков, часов",11,3,0,0,0,2.8,
Бухарест,"Температура, среднее",30.2,28.7,30.6,1.8,0.0,18.3,5
,"Без осадков, часов",11,11,11,1,0,6.8,
Рим,"Температура, среднее",31.9,32.2,28.1,0.0,0.0,18.4,4
,"Без осадков, часов",11,11,11,0,0,6.6,
Каир,"Температура, среднее",35.8,36.5,37.9,0.0,0.0,22.0,3
,"Без осадков, часов",11,11,11,0,0,6.6,
